matrix_type,component_category,component_maker,component_name,component_mm,component_extra,case_model,case_maker,case_form_factor,case_limit_mm,margin_mm,verdict
CPUクーラー×ケース,cpu_cooler,noctua,NH-U12A,158,fan:120mm,NZXT H200i,nzxt,Mini-ITX,167,9,WARNING
CPUクーラー×ケース,cpu_cooler,noctua,NH-U12A,158,fan:120mm,NZXT H9 Flow,nzxt,ATX,185,27,OK
CPUクーラー×ケース,cpu_cooler,noctua,NH-U12A,158,fan:120mm,NZXT H3 Flow,nzxt,ATX,165,7,WARNING
CPUクーラー×ケース,cpu_cooler,noctua,NH-U12A,158,fan:120mm,NZXT H2 Flow,nzxt,Mini-ITX,167,9,WARNING
電源×ケース,psu,bequiet,DARK POWER 14 | 1200 W,175,1200W Titanium,NZXT H510,nzxt,ATX,200,25,OK
電源×ケース,psu,bequiet,DARK POWER 14 | 1200 W,175,1200W Titanium,NZXT H200i,nzxt,Mini-ITX,130,-45,NG
電源×ケース,psu,bequiet,DARK POWER 14 | 1200 W,175,1200W Titanium,NZXT H9 Flow,nzxt,ATX,220,45,OK
電源×ケース,psu,bequiet,DARK POWER 14 | 1200 W,175,1200W Titanium,NZXT H3 Flow,nzxt,ATX,200,25,OK
電源×ケース,psu,bequiet,DARK POWER 14 | 1200 W,175,1200W Titanium,NZXT H2 Flow,nzxt,Mini-ITX,130,-45,NG
電源×ケース,psu,bequiet,DARK POWER 14 | 1000 W,175,1000W Titanium,NZXT H510,nzxt,ATX,200,25,OK
電源×ケース,psu,bequiet,DARK POWER 14 | 1000 W,175,1000W Titanium,NZXT H200i,nzxt,Mini-ITX,130,-45,NG
電源×ケース,psu,bequiet,DARK POWER 14 | 1000 W,175,1000W Titanium,NZXT H9 Flow,nzxt,ATX,220,45,OK
電源×ケース,psu,bequiet,DARK POWER 14 | 1000 W,175,1000W Titanium,NZXT H3 Flow,nzxt,ATX,200,25,OK
電源×ケース,psu,bequiet,DARK POWER 14 | 1000 W,175,1000W Titanium,NZXT H2 Flow,nzxt,Mini-ITX,130,-45,NG
電源×ケース,psu,bequiet,DARK POWER 14 | 850 W,175,850W Titanium,NZXT H510,nzxt,ATX,200,25,OK
電源×ケース,psu,bequiet,DARK POWER 14 | 850 W,175,850W Titanium,NZXT H200i,nzxt,Mini-ITX,130,-45,NG
電源×ケース,psu,bequiet,DARK POWER 14 | 850 W,175,850W Titanium,NZXT H9 Flow,nzxt,ATX,220,45,OK
電源×ケース,psu,bequiet,DARK POWER 14 | 850 W,175,850W Titanium,NZXT H3 Flow,nzxt,ATX,200,25,OK
電源×ケース,psu,bequiet,DARK POWER 14 | 850 W,175,850W Titanium,NZXT H2 Flow,nzxt,Mini-ITX,130,-45,NG
電源×ケース,psu,bequiet,POWER ZONE 2 | 1200 W,160,1200W Platinum,NZXT H510,nzxt,ATX,200,40,OK
電源×ケース,psu,bequiet,POWER ZONE 2 | 1200 W,160,1200W Platinum,NZXT H200i,nzxt,Mini-ITX,130,-30,NG
電源×ケース,psu,bequiet,POWER ZONE 2 | 1200 W,160,1200W Platinum,NZXT H9 Flow,nzxt,ATX,220,60,OK
電源×ケース,psu,bequiet,POWER ZONE 2 | 1200 W,160,1200W Platinum,NZXT H3 Flow,nzxt,ATX,200,40,OK
電源×ケース,psu,bequiet,POWER ZONE 2 | 1200 W,160,1200W Platinum,NZXT H2 Flow,nzxt,Mini-ITX,130,-30,NG
電源×ケース,psu,bequiet,POWER ZONE 2 | 1000W,160,1000W Platinum,NZXT H510,nzxt,ATX,200,40,OK
電源×ケース,psu,bequiet,POWER ZONE 2 | 1000W,160,1000W Platinum,NZXT H200i,nzxt,Mini-ITX,130,-30,NG
電源×ケース,psu,bequiet,POWER ZONE 2 | 1000W,160,1000W Platinum,NZXT H9 Flow,nzxt,ATX,220,60,OK
電源×ケース,psu,bequiet,POWER ZONE 2 | 1000W,160,1000W Platinum,NZXT H3 Flow,nzxt,ATX,200,40,OK
電源×ケース,psu,bequiet,POWER ZONE 2 | 1000W,160,1000W Platinum,NZXT H2 Flow,nzxt,Mini-ITX,130,-30,NG
